Num,Filename,Shot,ELM time,OK/NOT OK,Thomson temp,Thomson dens,Thomson press,Radial velocity peak,Clear peak,Radial velocity,Poloidal velocity,Correlation,Size,Elongation,Angle,Comment,,,
0,NSTX_GPI_138614_0.835_0.839_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,138614,837.5,OK,OK,OK,OK,Yes,y,Double event,Negatice at the ELM,"Fluctuationg, decreasing at the ELM",Increased poloidal and radial size,Dropping elongation,Decreasing angle,"Something happened to the gas puff, strange trace. Not much radial and poloidal movement, but the size of the gas cloud changes trementeously",,,
1,NSTX_GPI_138617_0.835_0.839_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,138617,837.3,QUESTIONABLE,OK,OK,OK,Yes,,Not clear,Not clear,,,,,,,,
2,NSTX_GPI_138617_0.838_0.842_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,138617,840.2,OK,OK,OK,OK,No,,,,,,,,,,,
3,NSTX_GPI_138617_0.853_0.857_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,138617,855.3,OK,OK,OK,OK,No,,,,,,,,,,,
4,NSTX_GPI_138620_0.866_0.87_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,138620,868.8,QUESTIONABLE,OK,OK,OK,No,,,,,,,,REWATCH,,,
5,NSTX_GPI_138748_0.427_0.431_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,138748,429.5,QUESTIONABLE,NO,OK,OK,No,,,,,,,,,,,
6,NSTX_GPI_138855_0.624_0.628_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,138855,626.5,OK,OK,OK,OK,No,,,,,,,,,,,
7,NSTX_GPI_138855_0.674_0.678_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,138855,676.4,OK,OK,OK,OK,Yes,,,,,,,,,,,
8,NSTX_GPI_139054_0.41_0.414_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139054,412,OK,OK,OK,OK,No,,,,,,,,,,,
9,NSTX_GPI_139054_0.444_0.448_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139054,446.3,QUESTIONABLE,NO,NO,NO,No,,"Small event, 2km velocity",,,,,,,,,
10,NSTX_GPI_139057_0.554_0.558_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139057,556.8,OK,NO,NO,NO,Yes,y,,,,,,,,,,
11,NSTX_GPI_139058_0.556_0.56_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139058,558,OK,NO,NO,NO,No,,,,,,,,,,,
12,NSTX_GPI_139058_0.5997_0.6037_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139058,601.7,QUESTIONABLE,NO,NO,NO,Yes,y,,,,,,,,,,
13,NSTX_GPI_139291_0.345_0.349_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139291,347.2,OK,OK,OK,OK,Yes,,,,,,,,,,,
14,NSTX_GPI_139292_0.364_0.368_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139292,366.5,QUESTIONABLE,OK,NO,OK,No,,Small change only,Large change in poloidal,,,,,"Seems like an ELM want to be event, but isn't matured to be an ELM",,,
15,NSTX_GPI_139292_0.387_0.391_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139292,389.7,OK,OK,OK,OK,No,,Good,Good,Good,,,,,,,
16,NSTX_GPI_139292_0.436_0.44_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139292,439,OK,OK,OK,OK,No,,,,"Correlation seems bad, otherwise good",,,,A lot of oscillations,,,
17,NSTX_GPI_139877_0.295_0.299_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139877,298.2,OK,OK,OK,OK,Yes,,"No oscillation, large burst",,,,,,RECALC,,,
18,NSTX_GPI_139877_0.301_0.305_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139877,303.3,OK,OK,OK,OK,No,,Large oscillation before,Oscillation,Drops sown to the negatives,Increaseing,Increasing,,,,,
19,NSTX_GPI_139877_0.318_0.322_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139877,320.9,OK,OK,OK,OK,No,,Large oscillation before,Oscillation,Drops sown to the negatives,Increaseing,Increasing,,,,,
20,NSTX_GPI_139878_0.3273_0.3313_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139878,329.3,OK,OK,OK,OK,Yes,y,Large increase,Modest decrease,Significant drop,Radial increasing,"Increase, decrease",Random,,,,
21,NSTX_GPI_139878_0.3375_0.3415_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139878,339.5,OK,OK,OK,OK,Yes,,,,,,,,,,,
22,NSTX_GPI_139878_0.344_0.348_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139878,346.5,OK,OK,OK,OK,Yes,y,,Decrease then increase,,,,,,,,
23,NSTX_GPI_139881_0.313_0.317_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139881,315.5,OK,NO,NO,NO,Yes,y,,,,,,,"Good event, large MHD oscillation before",,,
24,NSTX_GPI_139881_0.323_0.327_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139881,325.5,OK,NO,NO,NO,Yes,y,,,,,,,"Good event, more like filamentary instable than MHD",,,
25,NSTX_GPI_139885_0.323_0.327_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139885,325,OK,OK,OK,OK,Yes,y,,,,,,,"Large burst, no percursor, almost no MHD",,,
26,NSTX_GPI_139885_0.331_0.335_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139885,333,OK,OK,OK,OK,Yes,y,,,,,,,Same as the previous,,,
27,NSTX_GPI_139890_0.382_0.386_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139890,384.3,OK,OK,OK,OK,No,,,,,,,,"Low signal level, but clearly an ELM burst, or actually a compound one",,,
28,NSTX_GPI_139891_0.306_0.31_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139891,308.2,OK,OK,OK,OK,No,,,,,,,,Good ELM,,,
29,NSTX_GPI_139892_0.298_0.302_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139892,300.8,OK,OK,OK,OK,No,,,,,,,,"One big event at the ELM crash, one smaller event after the ELM crash",,,
30,NSTX_GPI_139893_0.302_0.306_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139893,304.8,OK,NO,NO,NO,No,,,,,,,,"MHD looking precursor oscillation, large crash with bulging separatrix",,,
31,NSTX_GPI_139893_0.326_0.33_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139893,328,OK,OK,OK,OK,No,,,,,,,,"Small MHD oscillation, multiple postcursor structures.",,,
32,NSTX_GPI_139895_0.317_0.321_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139895,319.8,OK,NO,NO,NO,Yes,,,,,,,,"Multiple structures after the ELM, nothing substantial before",,,
33,NSTX_GPI_139896_0.311_0.315_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139896,313.5,OK,OK,OK,OK,Yes,,,,,,,,"Multiple structures after the ELM, some are even going inwards, not much precursor activity",,,
34,NSTX_GPI_139896_0.322_0.326_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139896,324.4,OK,NO,NO,NO,No,,,,,,,,"60km/s poloidal velocity is not a feasible one, otherwise good",,,
35,NSTX_GPI_139896_0.341_0.345_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139896,343,OK,OK,OK,OK,No,,,,,,,,"Not much precursor activity, multiple structures at the ELM burst.",,,
36,NSTX_GPI_139897_0.296_0.3_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139897,299.3,OK,OK,OK,OK,No,,,,,,,,"Oscillation before the ELM event, small bulging at the ELM. Multiple whirling structures during the ELM burst.",,,
37,NSTX_GPI_139897_0.353_0.357_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139897,356.3,OK,NO,NO,NO,Yes,,,,,,,,Quite elongated structures coming out from the LCFS,,,
38,NSTX_GPI_139901_0.3055_0.3095_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139901,307.5,OK,OK,NO,OK,No,,,,,,,,"Multiple precursor structures before, the calculation seems OK",,,
39,NSTX_GPI_139901_0.323_0.327_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139901,325,OK,OK,OK,OK,No,,,,,,,,The fit density is not good.,,,
40,NSTX_GPI_139901_0.345_0.349_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139901,347.5,OK,OK,OK,OK,No,,,,,,,,Valid results,,,
41,NSTX_GPI_139903_0.338_0.342_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139903,340.7,OK,OK,OK,OK,No,,,,,,,,"Interesting shot, large precursor activity, multiple structures at the outburst",,,
42,NSTX_GPI_139906_0.305_0.309_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139906,307.1,NO,OK,OK,OK,No,,,,,,,,,,,
43,NSTX_GPI_139906_0.307_0.311_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139906,307.6,OK,OK,OK,OK,No,,,,,,,,"Not much radial outburst, otherwise OK",,,
44,NSTX_GPI_139906_0.307_0.311_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139906,308.3,QUESTIONABLE,OK,OK,OK,No,,,,,,,,"One small event bursting out, not much precursor activity. Not even necessarily an ELM",,,
45,NSTX_GPI_139907_0.3327_0.3367_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139907,334.7,OK,OK,OK,OK,No,,,,,,,,"Couple of small events before, one large structure rushing through the frame",,,
46,NSTX_GPI_139907_0.3387_0.3427_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139907,340.7,OK,OK,OK,OK,No,,,,,,,,"Lower signal leve, but based on the video it is an OK event",,,
47,NSTX_GPI_139908_0.381_0.385_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139908,383.2,QUESTIONABLE,OK,OK,OK,No,,,,,,,,"Multiple filaments are coming into the imaged frame, but there is no large outburst to be seen. Low gaspuff level.",,,
48,NSTX_GPI_139913_0.368_0.372_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139913,370.5,OK,NO,NO,NO,Yes,,,,,,,,"Three smaller events before at 367, 368.5 and 369.5",,,
49,NSTX_GPI_139914_0.366_0.37_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139914,367.3,QUESTIONABLE,OK,OK,OK,No,,,,,,,,"Doesn't look like an ELM, only a small event",,,
50,NSTX_GPI_139914_0.384_0.388_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139914,386.5,OK,OK,OK,OK,No,,,,,,,,Two ELMs one after the other,,,
51,NSTX_GPI_139914_0.384_0.388_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139914,387.1,OK,OK,OK,OK,No,,,,,,,,Two ELMs one after the other,,,
52,NSTX_GPI_139950_0.382_0.386_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139950,384.2,OK,OK,OK,OK,Yes,y,,,,,,,,,,
53,NSTX_GPI_139953_0.395_0.399_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139953,397.7,OK,OK,OK,OK,Yes,,,,,,,,,,,
54,NSTX_GPI_139954_0.349_0.353_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139954,351.3,QUESTIONABLE,OK,OK,OK,No,,,,,,,,,,,
55,NSTX_GPI_139956_0.361_0.365_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139956,363.5,OK,OK,OK,OK,No,,,,,,,,,,,
56,NSTX_GPI_139957_0.366_0.37_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139957,368.5,QUESTIONABLE,NO,NO,NO,No,,,,,,,,,,,
57,NSTX_GPI_139958_0.403_0.407_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139958,405,QUESTIONABLE,OK,OK,OK,Yes,,,,,,,,Just a small event,,,
58,NSTX_GPI_139962_0.3925_0.3965_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139962,394.5,OK,OK,OK,OK,No,,,,,,,,,,,
59,NSTX_GPI_139962_0.4042_0.4082_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139962,406.2,OK,OK,OK,OK,No,,,,,,,,Velocity blib is wrong,,,
60,NSTX_GPI_139965_0.3895_0.3935_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139965,391.5,OK,OK,OK,OK,No,,,,,,,,,,,
61,NSTX_GPI_139969_0.4075_0.4115_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139969,409.5,QUESTIONABLE,OK,OK,OK,No,,,,,,,,"Different condition should be implemented for the minimum finding, because at the very end of the shot, the correlation could decrease so much, that it actually interferes with the result.",,,
62,NSTX_GPI_139971_0.417_0.421_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139971,419.2,OK,OK,OK,OK,Yes,,,,,,,,,,,
63,NSTX_GPI_140526_0.408_0.412_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,140526,410,OK,OK,OK,OK,No,,,,,,,,,,,
64,NSTX_GPI_140616_0.4315_0.4355_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,140616,433.5,OK,OK,OK,OK,No,,,,,,,,,,,
65,NSTX_GPI_140617_0.418_0.422_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,140617,420.5,QUESTIONABLE,OK,OK,OK,Yes,y,,,,,,,,,,
66,NSTX_GPI_140619_0.504_0.508_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,140619,506.5,OK,OK,OK,OK,Yes,,,,,,,,Two events,,,
67,NSTX_GPI_140620_0.5545_0.5585_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,140620,556.5,OK,OK,OK,OK,No,,,,,,,,"Smaller, but separate event",,,
68,NSTX_GPI_140620_0.5554_0.5594_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,140620,557.4,OK,OK,OK,OK,No,,,,,,,,No large event at the time of the exact calculation,,,
69,NSTX_GPI_141283_0.638_0.642_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,141283,640.7,OK,OK,OK,OK,No,,,,,,,,,,,
70,NSTX_GPI_141300_0.499_0.503_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,141300,501.5,OK,OK,OK,OK,Yes,y,,,,,,,"Compound looking event, different from the others",,,
